,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,data/num_train_samples,test/roc_auc,test/temporal_roc_auc,pretrained,data_type
104,104,104,104,104,51,51,112,34,100000,0.8017681584873925,0.7551200570830672,random-init,unstructured
105,105,105,105,105,52,52,111,103,100,0.6467702789295723,0.6453683923627633,random-init,unstructured
106,106,106,106,106,53,53,110,30,100000,0.7992278333519697,0.7591149352469806,random-init,unstructured
107,107,107,107,107,54,54,108,14,362259,0.8137377721815668,0.7732929821092857,random-init,unstructured
108,108,108,108,108,55,55,115,70,1000,0.7016358173350441,0.6254181387153966,random-init,unstructured
109,109,109,109,109,56,56,106,26,100000,0.8043214377308102,0.7648409365385267,random-init,unstructured
110,110,110,110,110,57,57,105,6,362259,0.8132823293810957,0.7715074579228013,random-init,unstructured
111,111,111,111,111,58,58,104,10,362259,0.8137134576482936,0.7756350827235581,random-init,unstructured
112,112,112,112,112,59,59,103,23,362259,0.8157249870909141,0.7783734984533675,random-init,unstructured
113,113,113,113,113,60,60,113,58,10000,0.7695103703262274,0.733957057625842,random-init,unstructured
114,114,114,114,114,61,61,107,18,362259,0.8144413562414898,0.7749619251598885,random-init,unstructured
115,115,115,115,115,62,62,114,66,1000,0.6953260590934891,0.6602111044335516,random-init,unstructured
116,116,116,116,116,63,63,122,90,100,0.6498004479010744,0.6544050705480233,random-init,unstructured
117,117,117,117,117,64,64,116,74,1000,0.6971669212329659,0.624841158419313,random-init,unstructured
118,118,118,118,118,65,65,128,102,100,0.6562440933974406,0.6482848056356942,random-init,unstructured
119,119,119,119,119,66,66,126,98,100,0.6671451492247753,0.4213549940262278,random-init,unstructured
120,120,120,120,120,67,67,125,38,100000,0.8032444612286208,0.7417232218528638,random-init,unstructured
121,121,121,121,121,68,68,124,94,100,0.6382169070427945,0.6425470455649968,random-init,unstructured
122,122,122,122,122,69,69,123,42,100000,0.8019729582279337,0.7609911886113452,random-init,unstructured
123,123,123,123,123,70,70,127,46,10000,0.769094278442678,0.7347539088681182,random-init,unstructured
124,124,124,124,124,71,71,121,86,100,0.6655170450071144,0.6663553555197366,random-init,unstructured
125,125,125,125,125,72,72,120,54,10000,0.7715605062850139,0.7321520893651388,random-init,unstructured
126,126,126,126,126,73,73,119,81,1000,0.7058598183789038,0.6638741437751672,random-init,unstructured
127,127,127,127,127,74,74,118,50,10000,0.7676154943655973,0.7184548975997261,random-init,unstructured
128,128,128,128,128,75,75,117,78,1000,0.7111741567673816,0.6798396552394683,random-init,unstructured
129,129,129,129,129,0,0,153,153,100,0.58605077553973,0.5859740647047972,lace+xgb,structured
130,130,130,130,130,1,1,130,144,1000,0.7427874857300166,0.7328635970371667,lace+xgb,structured
131,131,131,131,131,2,2,131,145,100,0.6492784950674523,0.6335118079386585,lace+xgb,structured
132,132,132,132,132,3,3,132,146,1000,0.7417541884130598,0.7286432957005654,lace+xgb,structured
133,133,133,133,133,4,4,133,149,100,0.7034584224704209,0.6963810257937524,lace+xgb,structured
134,134,134,134,134,5,5,134,148,1000,0.7347687777674272,0.7221003812142397,lace+xgb,structured
135,135,135,135,135,6,6,135,150,1000,0.7454416402290991,0.7342503484798814,lace+xgb,structured
