,pretrained,data/num_train_samples,test/roc_auc,test/temporal_roc_auc
42,random_init_new,100000,0.8019729582279337,0.7609911886113452
43,gatortron-og_new,10000,0.8106771620795072,0.761918439941474
44,bio_new,10000,0.7688839506951505,0.7340794235603822
45,web-wiki_new,10000,0.7706764446920573,0.7329952554445595
46,random_init_new,10000,0.769094278442678,0.7347539088681182
47,gatortron-og_new,10000,0.8163761996158871,0.7728439564221137
48,bio_new,10000,0.7670372868343205,0.7252995605830144
49,web-wiki_new,10000,0.7701033482010203,0.733107356962878
50,random_init_new,10000,0.7676154943655973,0.7184548975997261
51,gatortron-og_new,10000,0.8074121078097759,0.7744142645768977
52,bio_new,10000,0.7672385052653845,0.72990794502194
53,web-wiki_new,10000,0.7682289164013496,0.732359689526298
54,random_init_new,10000,0.7715605062850139,0.7321520893651388
55,gatortron-og_new,10000,0.8098980609930976,0.7708876999691907
56,bio_new,10000,0.7675484471360248,0.7332478062509205
57,web-wiki_new,10000,0.7685242337389314,0.734382846924043
58,random_init_new,10000,0.7695103703262274,0.733957057625842
59,gatortron-og_new,10000,0.8088322146891481,0.7697566928610495
60,bio_new,10000,0.7602842571283612,0.7353551808059735
61,web-wiki_new,10000,0.7665772778642658,0.7326088159678965
62,random_init_new,10000,0.7608223130642404,0.7315738976110702
63,gatortron-og_new,1000,0.744126289210018,0.697762620729772
64,bio_new,1000,0.694488229647807,0.6444319769951556
65,web-wiki_new,1000,0.6987178661379372,0.6510917051895264
66,random_init_new,1000,0.6953260590934891,0.6602111044335516
67,gatortron-og_new,1000,0.7431351592540791,0.712415878474977
68,bio_new,1000,0.6791479156123974,0.47505149460105595
69,web-wiki_new,1000,0.6831430684225752,0.5257730292574254
70,random_init_new,1000,0.7016358173350441,0.6254181387153966
71,gatortron-og_new,1000,0.747849907135622,0.6988710648668479
72,bio_new,1000,0.6838176643403572,0.4961164805119731
73,web-wiki_new,1000,0.6881280184299506,0.6706900806250627
74,random_init_new,1000,0.6971669212329659,0.624841158419313
75,gatortron-og_new,1000,0.7294350440300513,0.6458511219218674
76,bio_new,1000,0.7055552382401667,0.674046848461824
77,web-wiki_new,1000,0.7081484183873188,0.6813817388530627
78,random_init_new,1000,0.7111741567673816,0.6798396552394683
79,gatortron-og_new,1000,0.7340735049035699,0.7080296525203874
80,bio_new,1000,0.7001502696992077,0.651480064254343
81,random_init_new,1000,0.7058598183789038,0.6638741437751672
82,web-wiki_new,1000,0.7003939112991091,0.6508017796894022
83,gatortron-og_new,100,0.6580794300880093,0.5991451261684547
84,bio_new,100,0.6540654319157461,0.4608422726551911
85,web-wiki_new,100,0.6605593231840796,0.6549360935432733
86,random_init_new,100,0.6655170450071144,0.6663553555197366
87,gatortron-og_new,100,0.6833391834876339,0.5957313920365931
88,bio_new,100,0.628014661901465,0.6355480848362713
89,web-wiki_new,100,0.6590514665482775,0.6442710075527359
90,random_init_new,100,0.6498004479010744,0.6544050705480233
91,gatortron-og_new,100,0.6612508766022369,0.6659848021103167
92,bio_new,100,0.6017347162194928,0.6265863538984378
93,web-wiki_new,100,0.6301690881503106,0.6358072969259362
94,random_init_new,100,0.6382169070427945,0.6425470455649968
95,gatortron-og_new,100,0.6746430785116356,0.5639769764249721
96,bio_new,100,0.6940529598520063,0.6668881627253136
97,web-wiki_new,100,0.662885616474744,0.42968406446222784
98,random_init_new,100,0.6671451492247753,0.4213549940262278
99,gatortron-og_new,100,0.6437068268026348,0.652850455807422
100,bio_new,100,0.6355955240835081,0.6343552291532135
101,web-wiki_new,100,0.6299342412232543,0.6356965248872972
102,random_init_new,100,0.6562440933974406,0.6482848056356942
103,random_init_new,100,0.6467702789295723,0.6453683923627633
104,nyutron (ours),100,0.6917135973398278,0.6784316685697549
105,nyutron (ours),362259,0.8413364020585121,0.8020372804291412
106,nyutron (ours),362259,0.8392151157127232,0.7978493500135662
107,nyutron (ours),362259,0.8402262779790315,0.7986812155157096
108,nyutron (ours),362259,0.8387266097515413,0.7991662881525783
109,nyutron (ours),100000,0.8358406422061455,0.794904090849935
110,nyutron (ours),100000,0.8319810138208257,0.7871618329585635
111,nyutron (ours),100000,0.834361689295904,0.795119837979262
112,nyutron (ours),100000,0.8333801291105043,0.7887122596646127
113,nyutron (ours),10000,0.8157742096316023,0.7467798388037477
114,nyutron (ours),10000,0.8137262736200662,0.7721870233702534
115,nyutron (ours),10000,0.8117934946147748,0.7814498398008227
116,nyutron (ours),10000,0.810713803991617,0.7699754877270837
117,nyutron (ours),1000,0.7755468900031286,0.7346395649375984
118,nyutron (ours),1000,0.7660009172654481,0.7350759171774842
119,nyutron (ours),1000,0.7699943843020931,0.7341269064651826
120,nyutron (ours),1000,0.7684354786577694,0.7346965624737358
121,nyutron (ours),100,0.6976256025604358,0.6637891525343902
122,nyutron (ours),100,0.6850073830229723,0.5982122948420201
123,nyutron (ours),100,0.7321084710902782,0.5253452960724866
124,nyutron (ours),100,0.6948013537677258,0.6731416394188129
125,nyutron (ours),100000,0.8328960025791976,0.7967833398826119
