,fpr,tpr,trial
17663,0.116,0.566,random-split
17665,0.116,0.566,random-split
17666,0.116,0.567,random-split
17667,0.116,0.567,random-split
17668,0.116,0.567,random-split
17669,0.116,0.567,random-split
17670,0.116,0.567,random-split
17671,0.117,0.567,random-split
17672,0.117,0.567,random-split
17673,0.117,0.567,random-split
17674,0.117,0.567,random-split
17675,0.117,0.567,random-split
17676,0.117,0.568,random-split
17664,0.116,0.566,random-split
17649,0.115,0.564,random-split
17648,0.115,0.564,random-split
17647,0.115,0.564,random-split
17620,0.113,0.56,random-split
17621,0.113,0.56,random-split
17622,0.113,0.56,random-split
17623,0.113,0.56,random-split
17624,0.113,0.561,random-split
17625,0.114,0.561,random-split
17626,0.114,0.561,random-split
17627,0.114,0.561,random-split
17628,0.114,0.561,random-split
17629,0.114,0.561,random-split
17630,0.114,0.561,random-split
17631,0.114,0.561,random-split
17632,0.114,0.561,random-split
17633,0.114,0.561,random-split
17634,0.114,0.562,random-split
17635,0.114,0.562,random-split
17636,0.114,0.562,random-split
17637,0.114,0.562,random-split
17638,0.114,0.562,random-split
17639,0.114,0.562,random-split
17640,0.114,0.562,random-split
17641,0.114,0.562,random-split
17642,0.114,0.563,random-split
17643,0.115,0.563,random-split
17644,0.115,0.563,random-split
17645,0.115,0.563,random-split
17646,0.115,0.564,random-split
17559,0.109,0.551,random-split
17197,0.089,0.504,random-split
17558,0.109,0.551,random-split
17556,0.109,0.551,random-split
17469,0.103,0.539,random-split
17470,0.103,0.54,random-split
17471,0.103,0.54,random-split
17472,0.103,0.54,random-split
17473,0.104,0.54,random-split
17474,0.104,0.54,random-split
17475,0.104,0.54,random-split
17476,0.104,0.541,random-split
17477,0.104,0.541,random-split
17478,0.104,0.541,random-split
17479,0.104,0.541,random-split
17480,0.104,0.541,random-split
17468,0.103,0.539,random-split
17481,0.104,0.541,random-split
17483,0.104,0.541,random-split
17484,0.104,0.541,random-split
17485,0.104,0.541,random-split
17486,0.104,0.542,random-split
17487,0.105,0.542,random-split
17488,0.105,0.542,random-split
17489,0.105,0.542,random-split
17490,0.105,0.542,random-split
17491,0.105,0.542,random-split
17492,0.105,0.542,random-split
17493,0.105,0.542,random-split
17494,0.105,0.543,random-split
17482,0.104,0.541,random-split
17495,0.105,0.543,random-split
17467,0.103,0.539,random-split
17465,0.103,0.539,random-split
17439,0.102,0.535,random-split
17440,0.102,0.535,random-split
17441,0.102,0.535,random-split
17442,0.102,0.535,random-split
17443,0.102,0.535,random-split
17444,0.102,0.536,random-split
17445,0.102,0.536,random-split
17446,0.102,0.536,random-split
17447,0.102,0.536,random-split
17448,0.102,0.537,random-split
17449,0.102,0.537,random-split
17450,0.102,0.537,random-split
17466,0.103,0.539,random-split
17451,0.102,0.537,random-split
17453,0.102,0.537,random-split
17454,0.102,0.538,random-split
17455,0.103,0.538,random-split
17456,0.103,0.538,random-split
17457,0.103,0.538,random-split
17458,0.103,0.538,random-split
17459,0.103,0.538,random-split
17460,0.103,0.538,random-split
17461,0.103,0.538,random-split
17462,0.103,0.538,random-split
17463,0.103,0.538,random-split
17464,0.103,0.539,random-split
17452,0.102,0.537,random-split
17496,0.105,0.543,random-split
17497,0.105,0.543,random-split
17498,0.105,0.543,random-split
17530,0.107,0.548,random-split
17531,0.107,0.548,random-split
17532,0.107,0.548,random-split
17533,0.107,0.548,random-split
17534,0.107,0.548,random-split
17535,0.107,0.548,random-split
17536,0.107,0.548,random-split
17537,0.107,0.548,random-split
17538,0.107,0.548,random-split
17539,0.107,0.548,random-split
17540,0.107,0.549,random-split
17541,0.107,0.549,random-split
17529,0.107,0.547,random-split
17542,0.107,0.549,random-split
17544,0.108,0.549,random-split
17545,0.108,0.549,random-split
17546,0.108,0.549,random-split
17547,0.108,0.549,random-split
17548,0.108,0.55,random-split
17549,0.108,0.55,random-split
17550,0.108,0.55,random-split
17551,0.108,0.55,random-split
17552,0.108,0.55,random-split
17553,0.109,0.55,random-split
17554,0.109,0.55,random-split
17555,0.109,0.55,random-split
17543,0.108,0.549,random-split
17528,0.107,0.547,random-split
17527,0.107,0.547,random-split
17526,0.106,0.547,random-split
17499,0.105,0.543,random-split
17500,0.105,0.543,random-split
17501,0.105,0.543,random-split
17502,0.105,0.544,random-split
17503,0.105,0.544,random-split
17504,0.105,0.544,random-split
17505,0.105,0.544,random-split
17506,0.105,0.544,random-split
17507,0.106,0.544,random-split
17508,0.106,0.544,random-split
17509,0.106,0.544,random-split
17510,0.106,0.545,random-split
17511,0.106,0.545,random-split
17512,0.106,0.545,random-split
17513,0.106,0.545,random-split
17514,0.106,0.545,random-split
17515,0.106,0.545,random-split
17516,0.106,0.546,random-split
17517,0.106,0.546,random-split
17518,0.106,0.546,random-split
17519,0.106,0.546,random-split
17520,0.106,0.546,random-split
17521,0.106,0.546,random-split
17522,0.106,0.546,random-split
17523,0.106,0.546,random-split
17524,0.106,0.547,random-split
17525,0.106,0.547,random-split
17557,0.109,0.551,random-split
17196,0.088,0.504,random-split
17195,0.088,0.504,random-split
17194,0.088,0.504,random-split
16865,0.071,0.458,random-split
16866,0.071,0.458,random-split
16867,0.071,0.458,random-split
16868,0.071,0.458,random-split
16869,0.071,0.458,random-split
16870,0.071,0.458,random-split
16871,0.071,0.459,random-split
16872,0.071,0.459,random-split
16873,0.071,0.459,random-split
16874,0.071,0.459,random-split
16875,0.071,0.459,random-split
16876,0.071,0.459,random-split
16864,0.071,0.458,random-split
16877,0.071,0.46,random-split
16879,0.072,0.46,random-split
16880,0.072,0.46,random-split
16881,0.072,0.46,random-split
16882,0.072,0.46,random-split
16883,0.072,0.46,random-split
16884,0.072,0.46,random-split
16885,0.072,0.46,random-split
16886,0.072,0.461,random-split
16887,0.072,0.461,random-split
16888,0.072,0.461,random-split
16889,0.072,0.461,random-split
16890,0.072,0.461,random-split
16878,0.072,0.46,random-split
16891,0.072,0.461,random-split
16863,0.071,0.458,random-split
16861,0.071,0.458,random-split
16835,0.069,0.454,random-split
16836,0.069,0.454,random-split
16837,0.069,0.454,random-split
16838,0.069,0.454,random-split
16839,0.069,0.455,random-split
16840,0.07,0.455,random-split
16841,0.07,0.455,random-split
16842,0.07,0.455,random-split
16843,0.07,0.455,random-split
16844,0.07,0.455,random-split
16845,0.07,0.456,random-split
16846,0.07,0.456,random-split
16862,0.071,0.458,random-split
16847,0.07,0.456,random-split
16849,0.07,0.456,random-split
16850,0.07,0.456,random-split
16851,0.07,0.456,random-split
16852,0.07,0.456,random-split
16853,0.07,0.457,random-split
16854,0.07,0.457,random-split
16855,0.07,0.457,random-split
16856,0.07,0.457,random-split
16857,0.07,0.457,random-split
16858,0.071,0.457,random-split
16859,0.071,0.457,random-split
16860,0.071,0.457,random-split
16848,0.07,0.456,random-split
16892,0.072,0.462,random-split
16893,0.072,0.462,random-split
16894,0.072,0.462,random-split
16926,0.074,0.466,random-split
16927,0.074,0.466,random-split
16928,0.074,0.467,random-split
16929,0.074,0.467,random-split
16930,0.074,0.467,random-split
16931,0.075,0.467,random-split
16932,0.075,0.467,random-split
16933,0.075,0.467,random-split
16934,0.075,0.468,random-split
16935,0.075,0.468,random-split
16936,0.075,0.468,random-split
16937,0.075,0.468,random-split
16925,0.074,0.466,random-split
16938,0.075,0.468,random-split
16940,0.075,0.469,random-split
16941,0.075,0.469,random-split
16942,0.075,0.469,random-split
16943,0.076,0.469,random-split
16944,0.076,0.469,random-split
16945,0.076,0.469,random-split
16946,0.076,0.469,random-split
16947,0.076,0.469,random-split
16948,0.076,0.47,random-split
16949,0.076,0.47,random-split
16950,0.076,0.47,random-split
16951,0.076,0.47,random-split
16939,0.075,0.468,random-split
16924,0.074,0.466,random-split
16923,0.074,0.466,random-split
16922,0.074,0.466,random-split
16895,0.073,0.462,random-split
16896,0.073,0.462,random-split
16897,0.073,0.462,random-split
16898,0.073,0.463,random-split
16899,0.073,0.463,random-split
16900,0.073,0.463,random-split
16901,0.073,0.463,random-split
16902,0.073,0.463,random-split
16903,0.073,0.463,random-split
16904,0.073,0.463,random-split
16905,0.073,0.463,random-split
16906,0.073,0.464,random-split
16907,0.073,0.464,random-split
16908,0.073,0.464,random-split
16909,0.073,0.464,random-split
16910,0.073,0.464,random-split
16911,0.074,0.464,random-split
16912,0.074,0.464,random-split
16913,0.074,0.464,random-split
16914,0.074,0.465,random-split
16915,0.074,0.465,random-split
16916,0.074,0.465,random-split
16917,0.074,0.465,random-split
16918,0.074,0.465,random-split
16919,0.074,0.465,random-split
16920,0.074,0.466,random-split
16921,0.074,0.466,random-split
16834,0.069,0.454,random-split
16952,0.076,0.47,random-split
16833,0.069,0.454,random-split
16831,0.069,0.453,random-split
16744,0.064,0.44,random-split
16745,0.064,0.44,random-split
