,name,pid,date,seed,gamma,node_ip,hostname,trial_id,max_depth,n_samples,reg_alpha,reg_lambda,n_estimators,experiment_id,learning_rate,colsample_bytree,min_child_weight,scale_pos_weight,config/n_estimators,config/scale_pos_weight,_wandb,timestamp,_timestamp,train_set_auc,config/max_depth,config/reg_alpha,config/reg_lambda,training_iteration,config/colsample_bytree,timesteps_since_restore,_runtime,val_set_auc,config/gamma,warmup_time,time_total_s,same_time_test_auc,time_since_restore,iterations_since_restore,_step,time_this_iter_s,config/min_child_weight,temporal_test_auc,config/learning_rate,config/seed,config/n_samples
20,362259samples-13seed,54395,2022-10-02_00-10-11,13,0,192.168.0.28,cn-0022,cff6453e,16,362259,0.2443269105383159,2,250,e2808716d7014897983a886fcf1bf4c9,0.04522102119629813,0.743415691523778,4,20,250,20,{'runtime': 2924},1664683811,1664683811,0.6826311034632928,16,0.2443269105383159,2,1,0.743415691523778,0,2923,0.6775401778505181,0,0.003723621368408203,2923.3770949840546,0.6762582030405194,2923.3770949840546,1,0,2923.3770949840546,4,0.6738055183945351,0.04522102119629813,13,362259
21,362259samples-36seed,120469,2022-10-01_23-45-38,36,8,192.168.0.19,cn-0013,3024f314,12,362259,0.039100068662534015,4,100,974d6b9504534926a971075846085b33,0.010223005715610144,0.7859956146480238,4,10,100,10,{'runtime': 1476},1664682338,1664682338,0.6977377704543977,12,0.039100068662534015,4,1,0.7859956146480238,0,1476,0.6927599334566579,8,0.0037539005279541016,1476.3284940719604,0.690921490983859,1476.3284940719604,1,0,1476.3284940719604,4,0.6757461664783203,0.010223005715610144,36,362259
22,362259samples-42seed,159892,2022-10-01_23-37-46,42,8,192.168.0.39,cn-0033,b5f92536,4,362259,0.582452335822737,2,200,82ef462bea6c4c5e96706df2b35d6c46,0.011542155012575625,0.8111597273278848,0,40,200,40,{'runtime': 1165},1664681866,1664681866,0.7193965268970338,4,0.582452335822737,2,1,0.8111597273278848,0,1165,0.7189736364033492,8,0.00420689582824707,1164.8449676036837,0.7176761878405415,1164.8449676036837,1,0,1164.8449676036837,0,0.7077087497966035,0.011542155012575625,42,362259
23,362259samples-42seed,159767,2022-10-01_23-58-43,42,4,192.168.0.39,cn-0033,8590612c,12,362259,0.2868595844291405,0,250,83094c3ce22b4c91b6930a6f88c51b24,0.026146551639000707,0.8551245805810906,0,40,250,40,{'runtime': 2489},1664683123,1664683123,0.6591792061504809,12,0.2868595844291405,0,1,0.8551245805810906,0,2489,0.6553809522240883,4,0.003654241561889648,2489.186380624771,0.6555109660924074,2489.186380624771,1,0,2489.186380624771,0,0.6372718246655261,0.026146551639000707,42,362259
24,362259samples-21seed,36354,2022-10-01_23-51-53,21,12,192.168.0.26,cn-0020,1fd4acf2,16,362259,0.9562260770766666,2,100,36735dc4c1e34142b208ac53e0162159,0.01835627323429651,0.7854337588541049,4,10,100,10,{'runtime': 2085},1664682713,1664682713,0.6869499281837794,16,0.9562260770766666,2,1,0.7854337588541049,0,2084,0.6749379249804036,12,0.00360250473022461,2085.3227109909058,0.6735766924531863,2085.3227109909058,1,0,2085.3227109909058,4,0.6690698111098875,0.01835627323429651,21,362259
25,362259samples-0seed,14169,2022-10-01_23-36-56,0,12,192.168.0.51,cn-0045,894a0380,8,362259,0.28704149129524925,2,200,662359216f5a47eebff50318e5e1d8a8,0.01271299526421885,0.7616823618746583,4,40,200,40,{'runtime': 1544},1664681816,1664681816,0.6881595917439524,8,0.28704149129524925,2,1,0.7616823618746583,0,1543,0.6848575965787691,12,0.003758668899536133,1543.7821159362793,0.6869343065872682,1543.7821159362793,1,0,1543.7821159362793,4,0.6633025508223287,0.01271299526421885,0,362259
26,362259samples-0seed,14321,2022-10-01_23-33-28,0,4,192.168.0.51,cn-0045,b39a3a62,12,362259,0.7156720906155264,2,100,5c9bc36e3043437ab87a66d7e2609736,0.04075164571644023,0.9336678415029892,4,40,100,40,{'runtime': 1479},1664681608,1664681608,0.684476597621745,12,0.7156720906155264,2,1,0.9336678415029892,0,1479,0.6775956166359813,4,0.003467321395874023,1479.2866718769071,0.6780803221410385,1479.2866718769071,1,0,1479.2866718769071,4,0.6665008970967871,0.04075164571644023,0,362259
27,362259samples-36seed,120390,2022-10-01_23-24-56,36,4,192.168.0.19,cn-0013,2d2282d4,8,362259,0.9192310212903294,8,100,e04cfc32c88c4657b9b04d49e3dff4e5,0.08916460413801258,0.7362497530239811,0,20,100,20,{'runtime': 1116},1664681096,1664681096,0.702083645007971,8,0.9192310212903294,8,1,0.7362497530239811,0,1116,0.695809140029016,4,0.0046312808990478516,1116.2369720935822,0.6993713962817577,1116.2369720935822,1,0,1116.2369720935822,0,0.6857259386706234,0.08916460413801258,36,362259
28,362259samples-21seed,36229,2022-10-01_23-45-28,21,4,192.168.0.26,cn-0020,9df870a2,12,362259,0.9719036014680964,6,150,9aafcb9cbd6c40f1ad08cb54836d7668,0.013914061098107297,0.7731717246817766,0,10,150,10,{'runtime': 2376},1664682328,1664682328,0.7043597502345567,12,0.9719036014680964,6,1,0.7731717246817766,0,2376,0.6953741838952584,4,0.003991842269897461,2375.884375810623,0.6968021290496015,2375.884375810623,1,0,2375.884375810623,0,0.6849717817764422,0.013914061098107297,21,362259
29,100000samples-42seed,137772,2022-10-01_23-10-27,42,4,192.168.0.13,cn-0007,72f3eee4,8,100000,0.4228807713915635,2,150,8941845e08b14c97b9b4a67fc2fb38d1,0.047155745091599706,0.9364941879798128,0,10,150,10,{'runtime': 522},1664680227,1664680227,0.6990481414780412,8,0.4228807713915635,2,1,0.9364941879798128,0,521,0.688823994744306,4,0.00387430191040039,521.1908643245697,0.6888934056591403,521.1908643245697,1,0,521.1908643245697,0,0.678892657838431,0.047155745091599706,42,100000
